Algoritmo,Movimentos_Iniciais,Solucoes_Encontradas,Media_Movimentos,Media_Nos_Expandidos,Media_Tempo_Segundos
A*,1,3,1.0,2.0,0.0011175473531087239
A*,2,3,2.0,3.0,0.0010383923848470051
A*,3,3,3.0,4.0,0.0013018449147542317
A*,4,3,4.0,5.0,0.0012302398681640625
A*,5,3,5.0,6.0,0.0015052954355875652
A*,6,3,6.0,7.0,0.0011057058970133464
A*,7,3,7.0,8.0,0.0011147658030192058
A*,8,3,8.0,10.0,0.0014793078104654949
A*,9,3,9.0,12.0,0.001452048619588216
A*,10,3,10.0,18.333333333333332,0.0017075538635253906
A*,11,3,11.0,28.0,0.002368450164794922
A*,12,3,11.333333333333334,24.666666666666668,0.0018350283304850261
A*,13,3,10.333333333333334,16.666666666666668,0.0012177626291910808
A*,14,3,14.0,36.666666666666664,0.0024449030558268228
A*,15,3,15.0,28.666666666666668,0.002048015594482422
A*,16,3,16.0,70.33333333333333,0.003402233123779297
A*,17,3,17.0,40.0,0.0022711753845214844
A*,18,3,16.666666666666668,66.33333333333333,0.0038579305013020835
A*,19,3,18.333333333333332,100.33333333333333,0.003941456476847331
A*,20,3,20.0,742.6666666666666,0.031299432118733726
A*,21,3,20.333333333333332,229.33333333333334,0.009005864461263021
A*,22,3,20.666666666666668,509.6666666666667,0.019153833389282227
A*,23,3,19.666666666666668,469.3333333333333,0.017880837122599285
A*,24,3,20.666666666666668,677.0,0.026458183924357098
A*,25,3,23.0,436.6666666666667,0.01740892728169759
A*,26,3,24.666666666666668,1180.6666666666667,0.04295086860656738
A*,27,3,23.666666666666668,1615.3333333333333,0.07134707768758138
A*,28,3,26.666666666666668,3439.6666666666665,0.11924552917480469
A*,29,3,25.666666666666668,1820.6666666666667,0.06470243136088054
A*,30,3,26.666666666666668,4783.666666666667,0.16811672846476236
A*,31,3,28.333333333333332,12840.333333333334,0.44205864270528156
A*,32,3,28.666666666666668,10352.0,0.35387436548868817
A*,33,3,25.666666666666668,3413.3333333333335,0.11862484614054362
A*,34,3,28.0,12414.0,0.42115171750386554
A*,35,3,32.333333333333336,27838.333333333332,0.9542165597279867
A*,36,3,27.333333333333332,27610.333333333332,1.0159000555674236
A*,37,3,31.666666666666668,13067.0,0.4430557092030843
A*,38,3,31.333333333333332,5762.333333333333,0.19178851445515951
A*,39,3,27.666666666666668,13789.666666666666,0.4614987373352051
A*,40,3,33.333333333333336,34210.666666666664,1.1738336086273193
A*,41,3,31.0,62384.333333333336,2.341709613800049
A*,42,3,26.0,12937.333333333334,0.44590552647908527
A*,43,3,31.666666666666668,50398.333333333336,1.815833330154419
A*,44,3,28.0,6603.0,0.2292947769165039
A*,45,3,35.666666666666664,337894.3333333333,13.604224602381388
A*,46,3,36.666666666666664,123277.66666666667,4.602088848749797
A*,47,3,35.666666666666664,309464.6666666667,12.433438857396444
A*,48,3,34.0,111494.0,4.206797043482463
A*,49,3,32.333333333333336,163346.33333333334,6.6287736892700195
A*,50,3,36.666666666666664,169847.33333333334,6.773665110270183
A*,51,3,31.0,115275.33333333333,4.532785256703694
A*,52,2,33.0,98332.0,3.6316239833831787
A*,53,3,33.0,139081.66666666666,5.5322457154591875
A*,54,2,36.0,107967.33333333333,4.255573113759358
A*,55,3,36.333333333333336,95217.66666666667,3.6195245583852134
A*,56,3,34.0,60520.0,2.201141913731893
A*,57,2,37.0,124373.0,4.938230196634929
A*,58,3,38.0,230888.66666666666,9.148385922114054
A*,59,1,25.0,463.3333333333333,0.026267369588216145
A*,60,2,34.0,21018.333333333332,0.7558191617329916
A*,61,3,37.666666666666664,167257.0,6.569846789042155
A*,62,2,40.0,114201.33333333333,4.24853531519572
A*,63,2,40.0,190003.0,7.535956064860026
A*,64,2,39.0,216507.33333333334,8.592509508132935
A*,65,2,35.0,13471.333333333334,0.4558327992757161
A*,66,3,38.666666666666664,190823.0,7.281685670216878
A*,67,2,40.0,117249.66666666667,4.389918565750122
A*,68,2,40.0,24837.0,0.8770294189453125
A*,69,1,35.0,41065.666666666664,1.4272079467773438
A*,70,2,38.0,76717.33333333333,2.745699087778727
A*,71,2,37.0,69719.0,2.50044584274292
A*,72,3,39.333333333333336,187152.66666666666,7.072508414586385
A*,73,2,36.0,92354.66666666667,3.4563567638397217
A*,74,2,41.0,216539.0,8.539480129877726
A*,75,2,41.0,98737.33333333333,3.5934616724650064
A*,76,1,38.0,155644.66666666666,6.2931381066640215
A*,77,2,42.0,156492.33333333334,6.036937157313029
A*,78,2,36.0,61947.666666666664,2.3294803301493325
A*,79,2,41.0,105362.0,3.9561996459960938
A*,80,1,40.0,96549.0,3.762196143468221
A*,81,1,29.0,2900.6666666666665,0.11500740051269531
A*,82,2,42.0,261348.0,10.200264771779379
A*,83,1,39.0,33425.666666666664,1.2036647001902263
A*,84,2,46.0,265791.3333333333,10.479036331176758
A*,85,1,39.0,146427.0,5.890451192855835
A*,86,2,43.0,335456.0,13.701337178548178
A*,87,3,45.666666666666664,461386.0,18.23418426513672
A*,88,1,40.0,9628.333333333334,0.3186941941579183
A*,89,1,41.0,111293.66666666667,4.425467650095622
A*,90,2,40.0,73999.33333333333,2.6532175540924072
A*,91,2,40.0,227394.0,8.970527013142904
A*,92,1,40.0,44732.0,1.6324000358581543
A*,93,1,45.0,145052.66666666666,5.717093467712402
A*,94,1,42.0,201191.66666666666,8.398234128952026
A*,95,1,37.0,39439.0,1.4392555554707844
A*,96,2,40.0,84654.33333333333,3.160184860229492
A*,97,2,39.0,275703.0,10.925639629364014
A*,98,2,42.0,137222.66666666666,5.109567960103353
A*,99,1,33.0,2748.0,0.0910507043202718
A*,100,2,39.0,276859.0,10.930160363515219
